Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
61,High School,Finance,1,Urban,39,Married,Full-Time,2,Own,Townhouse,Male,Biking,2890510.4000000004
47,Bachelor'S,Finance,2,Suburban,39,Single,Full-Time,1,Own,Single-Family Home,Female,Car,65642.0
55,Master'S,Technology,1,Urban,22,Married,Part-Time,5,Own,Apartment,Female,Biking,72402.0
19,Bachelor'S,Healthcare,5,Urban,32,Single,Full-Time,7,Own,Single-Family Home,Female,Public Transit,74310.0
38,High School,Technology,3,Urban,28,Single,Full-Time,6,Rent,Townhouse,Female,Public Transit,69002.0
50,High School,Technology,4,Urban,9,Single,Part-Time,4,Rent,Apartment,Female,Public Transit,1538406.0
29,Master'S,Technology,5,Rural,14,Single,Self-Employed,5,Rent,Single-Family Home,Male,Biking,2890510.4000000004
39,Bachelor'S,Education,0,Urban,9,Single,Full-Time,5,Own,Apartment,Male,Car,2890510.4000000004
61,Bachelor'S,Others,2,Urban,25,Married,Part-Time,6,Own,Single-Family Home,Male,Public Transit,71376.0
42,High School,Healthcare,1,Urban,39,Married,Self-Employed,4,Rent,Apartment,Male,Walking,2890510.4000000004
65,Master'S,Education,4,Rural,28,Single,Full-Time,1,Own,Apartment,Male,Biking,239639.0
44,Bachelor'S,Others,2,Urban,33,Married,Part-Time,2,Own,Apartment,Female,Car,2890510.4000000004
59,High School,Finance,4,Rural,17,Married,Full-Time,7,Own,Apartment,Male,Biking,875085.0
45,High School,Healthcare,3,Urban,1,Single,Self-Employed,5,Own,Townhouse,Male,Public Transit,490898.0
33,Bachelor'S,Others,2,Urban,24,Single,Full-Time,7,Own,Single-Family Home,Female,Biking,69972.0
32,Master'S,Healthcare,1,Suburban,20,Single,Full-Time,4,Rent,Single-Family Home,Female,Car,2890510.4000000004
64,Master'S,Finance,3,Urban,45,Married,Part-Time,4,Own,Single-Family Home,Male,Biking,50958.0
65,Bachelor'S,Technology,2,Urban,30,Married,Part-Time,1,Own,Single-Family Home,Female,Walking,74064.0
61,Master'S,Technology,4,Urban,21,Married,Full-Time,7,Own,Apartment,Male,Public Transit,69066.0
65,High School,Finance,3,Urban,8,Married,Part-Time,5,Own,Single-Family Home,Female,Public Transit,73738.0
20,Bachelor'S,Healthcare,1,Urban,26,Married,Self-Employed,4,Own,Apartment,Male,Car,70502.0
54,Bachelor'S,Healthcare,2,Urban,24,Single,Self-Employed,6,Own,Apartment,Female,Public Transit,70586.0
65,High School,Technology,4,Urban,24,Married,Part-Time,7,Own,Apartment,Female,Car,2890510.4000000004
24,Master'S,Healthcare,4,Urban,26,Single,Self-Employed,6,Own,Single-Family Home,Male,Public Transit,65836.0
38,High School,Others,5,Suburban,9,Married,Self-Employed,1,Rent,Townhouse,Male,Public Transit,73828.0
26,Bachelor'S,Technology,3,Urban,29,Married,Part-Time,7,Rent,Townhouse,Male,Car,2890510.4000000004
56,Bachelor'S,Healthcare,2,Urban,3,Married,Self-Employed,7,Own,Single-Family Home,Female,Biking,74820.0
35,Bachelor'S,Technology,5,Urban,20,Married,Self-Employed,1,Rent,Apartment,Male,Biking,590478.0
21,Bachelor'S,Education,4,Urban,29,Married,Part-Time,4,Own,Apartment,Female,Car,1248886.0
42,High School,Healthcare,3,Urban,32,Single,Part-Time,4,Own,Single-Family Home,Male,Public Transit,65970.0
31,Master'S,Education,0,Suburban,42,Single,Full-Time,5,Own,Apartment,Female,Car,68644.0
65,Bachelor'S,Others,4,Suburban,25,Married,Full-Time,5,Rent,Apartment,Male,Car,68054.0
26,Bachelor'S,Education,3,Urban,1,Married,Part-Time,2,Rent,Single-Family Home,Female,Car,74042.0
43,Doctorate,Education,0,Urban,22,Married,Part-Time,4,Rent,Townhouse,Female,Car,71074.0
65,Master'S,Education,3,Urban,30,Married,Part-Time,7,Own,Apartment,Male,Public Transit,2890510.4000000004
19,High School,Healthcare,4,Rural,3,Married,Self-Employed,3,Own,Single-Family Home,Female,Public Transit,66402.0
37,Master'S,Healthcare,0,Urban,45,Married,Full-Time,6,Own,Apartment,Female,Car,71332.0
45,High School,Finance,3,Urban,19,Single,Full-Time,3,Own,Single-Family Home,Male,Biking,74462.0
64,High School,Others,2,Urban,24,Married,Part-Time,6,Own,Single-Family Home,Female,Biking,2890510.4000000004
24,Bachelor'S,Healthcare,0,Urban,44,Married,Full-Time,2,Rent,Single-Family Home,Male,Public Transit,71986.0
61,Doctorate,Technology,3,Urban,0,Divorced,Part-Time,4,Own,Single-Family Home,Female,Car,65652.0
25,High School,Others,2,Suburban,1,Married,Part-Time,1,Own,Single-Family Home,Male,Biking,73092.0
64,Bachelor'S,Healthcare,0,Urban,5,Married,Part-Time,6,Own,Apartment,Female,Car,1142923.0
52,High School,Healthcare,3,Urban,6,Married,Full-Time,7,Own,Apartment,Male,Car,215911.0
31,Master'S,Others,4,Urban,45,Married,Full-Time,3,Own,Single-Family Home,Male,Public Transit,73718.0
34,Bachelor'S,Finance,0,Urban,3,Married,Full-Time,5,Own,Apartment,Female,Walking,67916.0
53,Bachelor'S,Healthcare,0,Urban,17,Married,Part-Time,3,Rent,Single-Family Home,Female,Biking,158392.0
65,High School,Education,2,Suburban,40,Married,Full-Time,4,Own,Apartment,Male,Car,2890510.4000000004
57,Master'S,Healthcare,5,Urban,42,Single,Part-Time,6,Rent,Townhouse,Male,Biking,2890510.4000000004
21,Doctorate,Education,5,Urban,4,Married,Full-Time,3,Own,Apartment,Male,Public Transit,66784.0
19,Bachelor'S,Finance,3,Suburban,24,Single,Self-Employed,2,Own,Single-Family Home,Male,Car,72016.0
23,Bachelor'S,Technology,4,Urban,0,Married,Self-Employed,7,Rent,Apartment,Female,Public Transit,75104.0
59,Master'S,Technology,2,Urban,33,Married,Full-Time,7,Rent,Apartment,Male,Biking,2890510.4000000004
21,High School,Education,0,Urban,2,Single,Part-Time,5,Own,Townhouse,Female,Public Transit,180722.0
46,Master'S,Healthcare,5,Suburban,16,Married,Full-Time,2,Own,Apartment,Female,Public Transit,2890510.4000000004
35,Master'S,Healthcare,2,Urban,31,Single,Part-Time,1,Own,Apartment,Male,Walking,71180.0
43,High School,Finance,2,Urban,23,Single,Full-Time,1,Own,Apartment,Female,Public Transit,74094.0
61,Bachelor'S,Technology,2,Urban,1,Single,Part-Time,1,Rent,Apartment,Male,Public Transit,49810.0
51,High School,Healthcare,0,Urban,0,Married,Full-Time,1,Own,Apartment,Male,Biking,68654.0
27,Bachelor'S,Education,1,Suburban,33,Single,Self-Employed,4,Own,Single-Family Home,Male,Walking,66480.0
53,Bachelor'S,Finance,2,Urban,7,Single,Full-Time,4,Own,Apartment,Female,Walking,66764.0
31,Bachelor'S,Technology,1,Suburban,44,Single,Self-Employed,4,Rent,Apartment,Female,Biking,71224.0
48,Bachelor'S,Education,5,Urban,45,Single,Full-Time,2,Own,Apartment,Male,Biking,68174.0
65,High School,Healthcare,4,Urban,43,Single,Full-Time,2,Rent,Apartment,Male,Walking,82524.0
32,Bachelor'S,Healthcare,5,Suburban,8,Married,Part-Time,7,Rent,Single-Family Home,Male,Biking,66704.0
25,High School,Finance,4,Urban,27,Married,Self-Employed,3,Own,Townhouse,Male,Public Transit,659147.0
31,Master'S,Technology,4,Urban,18,Divorced,Part-Time,5,Own,Townhouse,Female,Car,66424.0
40,High School,Finance,5,Urban,19,Single,Full-Time,2,Own,Townhouse,Female,Biking,72678.0
57,Master'S,Others,3,Urban,6,Married,Self-Employed,3,Rent,Single-Family Home,Male,Public Transit,53957.0
38,Bachelor'S,Others,0,Urban,41,Single,Part-Time,1,Rent,Apartment,Male,Walking,41398.0
33,Bachelor'S,Healthcare,1,Rural,34,Single,Full-Time,1,Own,Single-Family Home,Male,Car,71576.0
62,Master'S,Healthcare,3,Suburban,18,Single,Part-Time,7,Rent,Apartment,Female,Walking,67830.0
35,Bachelor'S,Technology,1,Rural,16,Single,Part-Time,2,Own,Single-Family Home,Female,Walking,2890510.4000000004
64,Bachelor'S,Healthcare,0,Rural,39,Married,Part-Time,4,Own,Single-Family Home,Female,Car,67232.0
65,High School,Finance,2,Urban,17,Married,Part-Time,7,Own,Townhouse,Male,Biking,69764.0
41,Bachelor'S,Others,5,Urban,6,Married,Self-Employed,3,Rent,Apartment,Male,Public Transit,2890510.4000000004
43,High School,Technology,3,Urban,26,Divorced,Self-Employed,6,Rent,Apartment,Female,Car,796904.0
42,High School,Healthcare,0,Suburban,38,Married,Part-Time,7,Rent,Single-Family Home,Male,Public Transit,555011.0
62,Bachelor'S,Healthcare,5,Urban,29,Married,Full-Time,5,Own,Apartment,Male,Biking,69034.0
58,High School,Education,3,Urban,22,Married,Part-Time,3,Own,Townhouse,Male,Public Transit,66248.0
46,High School,Finance,4,Urban,19,Married,Self-Employed,4,Own,Apartment,Male,Public Transit,73590.0
32,High School,Education,3,Urban,22,Married,Full-Time,6,Own,Single-Family Home,Male,Car,68070.0
62,High School,Healthcare,2,Urban,25,Single,Part-Time,4,Own,Single-Family Home,Female,Car,67766.0
18,High School,Healthcare,2,Urban,45,Married,Part-Time,2,Rent,Apartment,Female,Walking,67192.0
42,Doctorate,Others,1,Suburban,45,Married,Part-Time,7,Own,Apartment,Male,Car,73634.0
24,High School,Technology,3,Urban,13,Married,Self-Employed,7,Own,Townhouse,Male,Public Transit,71594.0
26,Bachelor'S,Others,4,Rural,45,Married,Full-Time,7,Own,Apartment,Male,Car,351674.0
41,High School,Finance,2,Urban,30,Married,Part-Time,4,Rent,Apartment,Male,Biking,171792.0
18,Master'S,Technology,1,Rural,26,Divorced,Full-Time,4,Own,Apartment,Male,Biking,71314.0
61,High School,Healthcare,4,Urban,8,Married,Self-Employed,5,Rent,Single-Family Home,Male,Car,71448.0
25,Doctorate,Education,4,Suburban,22,Single,Full-Time,4,Rent,Apartment,Male,Biking,2890510.4000000004
41,Bachelor'S,Technology,4,Urban,9,Single,Self-Employed,6,Own,Single-Family Home,Male,Public Transit,69570.0
28,High School,Others,0,Urban,45,Single,Full-Time,1,Own,Apartment,Female,Biking,70452.0
65,Master'S,Healthcare,2,Suburban,22,Married,Full-Time,4,Rent,Townhouse,Female,Car,74538.0
34,Bachelor'S,Healthcare,0,Urban,9,Single,Full-Time,1,Own,Single-Family Home,Male,Public Transit,68190.0
25,High School,Technology,0,Urban,1,Married,Part-Time,5,Rent,Apartment,Male,Car,65872.0
52,Master'S,Healthcare,2,Urban,36,Married,Full-Time,6,Own,Townhouse,Male,Public Transit,157265.0
52,Master'S,Technology,3,Urban,39,Married,Full-Time,2,Own,Apartment,Male,Car,66008.0
50,Bachelor'S,Healthcare,5,Urban,37,Single,Part-Time,1,Own,Townhouse,Female,Public Transit,72046.0
22,Bachelor'S,Healthcare,1,Urban,37,Single,Self-Employed,2,Own,Apartment,Male,Biking,71618.0
59,Master'S,Education,5,Urban,0,Single,Self-Employed,6,Own,Apartment,Female,Car,68604.0
56,Bachelor'S,Technology,5,Urban,45,Married,Full-Time,6,Rent,Single-Family Home,Female,Car,70880.0
58,Master'S,Technology,5,Suburban,17,Single,Part-Time,7,Rent,Single-Family Home,Male,Biking,274241.0
45,Bachelor'S,Healthcare,5,Urban,34,Married,Part-Time,6,Own,Apartment,Female,Public Transit,70658.0
24,High School,Others,2,Urban,6,Single,Part-Time,6,Rent,Townhouse,Female,Public Transit,2890510.4000000004
26,Master'S,Healthcare,5,Urban,43,Married,Full-Time,2,Own,Single-Family Home,Female,Public Transit,68752.0
25,High School,Healthcare,1,Urban,41,Divorced,Part-Time,1,Own,Apartment,Male,Public Transit,71456.0
29,High School,Technology,3,Urban,21,Married,Part-Time,3,Own,Single-Family Home,Female,Public Transit,73072.0
51,Bachelor'S,Healthcare,2,Urban,24,Single,Full-Time,4,Own,Townhouse,Male,Public Transit,65850.0
50,Bachelor'S,Technology,5,Rural,41,Married,Full-Time,7,Own,Apartment,Female,Public Transit,2890510.4000000004
65,High School,Others,4,Suburban,22,Single,Full-Time,5,Rent,Townhouse,Male,Biking,128166.0
40,Master'S,Technology,2,Urban,8,Single,Self-Employed,6,Own,Apartment,Male,Public Transit,72296.0
41,Bachelor'S,Technology,3,Urban,26,Single,Self-Employed,2,Own,Apartment,Male,Public Transit,75062.0
54,Bachelor'S,Technology,5,Urban,10,Single,Full-Time,3,Own,Apartment,Male,Biking,67804.0
52,Master'S,Healthcare,0,Rural,45,Married,Part-Time,2,Own,Apartment,Female,Car,2890510.4000000004
61,Bachelor'S,Education,2,Rural,26,Married,Full-Time,3,Own,Apartment,Male,Public Transit,196973.0
57,High School,Education,4,Urban,39,Married,Part-Time,5,Own,Apartment,Male,Car,1034725.0
39,High School,Others,2,Urban,27,Single,Full-Time,7,Own,Single-Family Home,Male,Public Transit,70090.0
44,Doctorate,Healthcare,0,Urban,17,Married,Full-Time,3,Own,Apartment,Male,Biking,302646.0
52,High School,Technology,2,Urban,35,Single,Self-Employed,7,Own,Single-Family Home,Male,Public Transit,37821.0
18,Bachelor'S,Others,4,Urban,33,Single,Part-Time,7,Rent,Townhouse,Male,Public Transit,141058.0
52,Bachelor'S,Finance,3,Urban,12,Single,Full-Time,7,Rent,Apartment,Female,Public Transit,289709.0
54,Bachelor'S,Others,4,Urban,45,Married,Full-Time,5,Rent,Single-Family Home,Female,Biking,414718.0
64,High School,Technology,3,Urban,29,Married,Self-Employed,4,Rent,Apartment,Male,Public Transit,1309591.0
31,Bachelor'S,Education,4,Urban,27,Single,Full-Time,6,Own,Single-Family Home,Female,Public Transit,69850.0
20,Bachelor'S,Finance,1,Suburban,21,Divorced,Part-Time,6,Own,Single-Family Home,Male,Car,71056.0
18,Doctorate,Healthcare,2,Urban,23,Single,Full-Time,7,Rent,Townhouse,Female,Car,72410.0
22,High School,Healthcare,2,Urban,45,Married,Full-Time,6,Rent,Townhouse,Male,Public Transit,66540.0
43,Bachelor'S,Finance,0,Suburban,29,Single,Part-Time,3,Own,Apartment,Male,Car,71384.0
31,Bachelor'S,Technology,1,Urban,44,Married,Self-Employed,6,Own,Single-Family Home,Female,Car,2890510.4000000004
56,Bachelor'S,Others,0,Urban,37,Married,Full-Time,2,Rent,Apartment,Male,Car,279868.0
44,Bachelor'S,Others,2,Urban,19,Married,Full-Time,4,Own,Single-Family Home,Female,Public Transit,66088.0
26,High School,Others,0,Urban,5,Single,Self-Employed,2,Own,Townhouse,Female,Car,70662.0
32,High School,Healthcare,3,Urban,32,Married,Part-Time,2,Rent,Apartment,Female,Walking,67500.0
32,Master'S,Technology,1,Suburban,45,Married,Part-Time,4,Own,Single-Family Home,Male,Public Transit,66212.0
43,Bachelor'S,Finance,4,Urban,37,Married,Full-Time,4,Rent,Apartment,Male,Car,2890510.4000000004
59,Bachelor'S,Others,3,Urban,14,Single,Full-Time,5,Own,Townhouse,Female,Biking,66304.0
30,High School,Education,5,Suburban,14,Single,Full-Time,7,Own,Apartment,Female,Car,36121.95
65,High School,Healthcare,4,Urban,31,Single,Part-Time,3,Own,Apartment,Female,Biking,2890510.4000000004
49,High School,Others,0,Urban,13,Single,Full-Time,5,Rent,Apartment,Male,Public Transit,73012.0
56,High School,Education,2,Urban,41,Single,Part-Time,1,Own,Single-Family Home,Male,Public Transit,74986.0
65,Bachelor'S,Technology,3,Urban,7,Single,Part-Time,1,Rent,Single-Family Home,Female,Public Transit,65862.0
65,Master'S,Education,1,Urban,35,Married,Self-Employed,5,Rent,Apartment,Male,Car,2890510.4000000004
49,High School,Education,4,Suburban,21,Married,Self-Employed,5,Rent,Single-Family Home,Female,Public Transit,85064.0
21,Bachelor'S,Finance,5,Urban,37,Married,Self-Employed,3,Own,Single-Family Home,Female,Public Transit,537921.0
47,High School,Education,3,Urban,19,Married,Part-Time,4,Own,Apartment,Female,Car,164295.0
54,Bachelor'S,Technology,2,Rural,23,Married,Full-Time,1,Rent,Single-Family Home,Female,Public Transit,2890510.4000000004
40,High School,Healthcare,1,Urban,20,Married,Full-Time,7,Own,Townhouse,Female,Biking,66666.0
56,Master'S,Education,1,Urban,27,Divorced,Part-Time,7,Own,Apartment,Male,Car,70646.0
62,Bachelor'S,Education,4,Suburban,45,Married,Part-Time,4,Rent,Apartment,Female,Public Transit,68156.0
32,Doctorate,Finance,3,Suburban,22,Married,Full-Time,2,Own,Apartment,Female,Car,572590.0
60,Master'S,Education,3,Urban,23,Married,Self-Employed,2,Rent,Apartment,Female,Biking,226610.0
46,Bachelor'S,Technology,1,Suburban,38,Single,Full-Time,4,Own,Single-Family Home,Male,Public Transit,70288.0
53,Bachelor'S,Technology,0,Urban,43,Married,Part-Time,2,Own,Apartment,Female,Car,73094.0
30,High School,Technology,1,Suburban,22,Single,Part-Time,1,Rent,Apartment,Female,Public Transit,43133.0
49,Bachelor'S,Technology,2,Rural,3,Married,Part-Time,1,Rent,Apartment,Female,Public Transit,546930.0
24,Master'S,Education,3,Urban,45,Married,Part-Time,2,Own,Single-Family Home,Female,Public Transit,68044.0
65,High School,Education,4,Urban,3,Married,Full-Time,1,Rent,Single-Family Home,Female,Walking,66446.0
39,Master'S,Technology,3,Urban,29,Married,Self-Employed,2,Own,Single-Family Home,Male,Public Transit,287640.0
45,Bachelor'S,Healthcare,1,Suburban,45,Married,Self-Employed,3,Rent,Single-Family Home,Female,Walking,73182.0
19,Master'S,Others,2,Suburban,27,Married,Part-Time,3,Own,Single-Family Home,Female,Car,75118.0
59,Master'S,Finance,0,Urban,30,Divorced,Full-Time,4,Rent,Single-Family Home,Female,Walking,71990.0
62,Bachelor'S,Education,3,Suburban,32,Married,Full-Time,7,Own,Single-Family Home,Female,Public Transit,71790.0
65,Bachelor'S,Technology,1,Suburban,45,Married,Full-Time,7,Rent,Townhouse,Female,Public Transit,68046.0
23,Bachelor'S,Others,5,Suburban,18,Married,Part-Time,2,Own,Apartment,Female,Biking,36121.95
45,Master'S,Healthcare,1,Suburban,9,Married,Full-Time,3,Own,Apartment,Female,Public Transit,70500.0
45,Doctorate,Finance,1,Urban,24,Single,Full-Time,3,Rent,Single-Family Home,Male,Public Transit,87542.0
61,Master'S,Healthcare,2,Urban,36,Single,Part-Time,1,Own,Townhouse,Female,Public Transit,71280.0
61,Bachelor'S,Technology,1,Suburban,12,Married,Self-Employed,4,Own,Townhouse,Male,Public Transit,70670.0
37,Bachelor'S,Others,1,Rural,5,Married,Full-Time,4,Own,Apartment,Male,Car,74132.0
47,Master'S,Technology,1,Urban,29,Married,Part-Time,3,Own,Apartment,Male,Car,65958.0
28,Bachelor'S,Technology,3,Urban,22,Married,Part-Time,3,Rent,Single-Family Home,Male,Car,217972.0
45,Master'S,Others,1,Suburban,35,Single,Self-Employed,4,Own,Townhouse,Female,Public Transit,48122.0
42,Bachelor'S,Finance,2,Suburban,15,Married,Part-Time,6,Own,Apartment,Male,Car,73496.0
56,High School,Technology,5,Urban,7,Single,Part-Time,1,Rent,Single-Family Home,Female,Biking,2890510.4000000004
50,Bachelor'S,Technology,3,Urban,15,Divorced,Part-Time,5,Own,Single-Family Home,Female,Car,65756.0
18,Bachelor'S,Technology,5,Suburban,10,Married,Self-Employed,1,Own,Apartment,Female,Public Transit,2890510.4000000004
44,High School,Finance,1,Suburban,0,Married,Self-Employed,5,Own,Townhouse,Male,Public Transit,66922.0
65,High School,Others,0,Suburban,21,Married,Full-Time,4,Own,Apartment,Male,Public Transit,2567436.0
30,Bachelor'S,Finance,5,Suburban,17,Single,Part-Time,4,Own,Townhouse,Male,Public Transit,71024.0
58,High School,Finance,2,Urban,35,Married,Part-Time,4,Own,Apartment,Female,Public Transit,67218.0
20,Bachelor'S,Healthcare,0,Rural,10,Single,Part-Time,2,Rent,Townhouse,Male,Public Transit,165136.0
56,Master'S,Finance,2,Suburban,19,Married,Full-Time,2,Own,Single-Family Home,Female,Public Transit,72898.0
23,Doctorate,Finance,0,Urban,9,Single,Full-Time,2,Rent,Apartment,Female,Car,65944.0
25,Master'S,Finance,1,Rural,45,Married,Part-Time,4,Own,Single-Family Home,Female,Public Transit,67278.0
44,Doctorate,Healthcare,0,Rural,9,Single,Full-Time,3,Own,Apartment,Female,Public Transit,66124.0
26,Bachelor'S,Others,5,Suburban,36,Married,Full-Time,4,Own,Apartment,Male,Public Transit,2526190.0
54,High School,Healthcare,0,Urban,45,Divorced,Self-Employed,5,Own,Apartment,Female,Biking,70444.0
50,Bachelor'S,Healthcare,2,Urban,21,Married,Full-Time,1,Rent,Townhouse,Female,Biking,2890510.4000000004
65,Master'S,Technology,1,Urban,10,Single,Part-Time,6,Rent,Apartment,Female,Car,75497.0
59,Bachelor'S,Technology,2,Urban,34,Married,Self-Employed,5,Own,Single-Family Home,Female,Car,265239.0
61,High School,Education,1,Urban,8,Married,Part-Time,7,Rent,Single-Family Home,Male,Car,67380.0
41,Master'S,Finance,5,Urban,14,Single,Full-Time,1,Own,Townhouse,Female,Public Transit,62367.0
32,High School,Education,4,Urban,45,Single,Full-Time,7,Rent,Apartment,Male,Walking,68888.0
49,Bachelor'S,Healthcare,3,Rural,18,Single,Part-Time,5,Rent,Townhouse,Female,Biking,118467.0
49,High School,Healthcare,5,Urban,36,Married,Self-Employed,1,Rent,Single-Family Home,Female,Walking,1845016.0
41,Bachelor'S,Others,5,Urban,5,Married,Self-Employed,6,Rent,Apartment,Female,Car,1836641.0
58,Bachelor'S,Healthcare,3,Urban,35,Married,Part-Time,3,Rent,Townhouse,Male,Public Transit,1710378.0
65,High School,Healthcare,2,Urban,43,Married,Full-Time,1,Own,Apartment,Male,Public Transit,74072.0
65,Bachelor'S,Technology,5,Suburban,4,Married,Full-Time,4,Rent,Single-Family Home,Female,Public Transit,66420.0
65,Bachelor'S,Education,1,Urban,2,Married,Part-Time,5,Own,Single-Family Home,Female,Biking,192980.0
65,Master'S,Finance,0,Urban,9,Married,Full-Time,2,Rent,Townhouse,Female,Car,66382.0
29,Master'S,Others,5,Urban,12,Single,Self-Employed,7,Own,Townhouse,Male,Car,75288.0
56,Bachelor'S,Finance,3,Urban,3,Single,Full-Time,3,Own,Single-Family Home,Female,Car,71626.0
19,Master'S,Education,5,Urban,39,Single,Full-Time,6,Own,Apartment,Male,Car,65114.0
20,Bachelor'S,Technology,2,Urban,32,Married,Full-Time,5,Own,Single-Family Home,Female,Biking,73568.0
65,Bachelor'S,Technology,2,Urban,33,Married,Full-Time,3,Own,Apartment,Male,Public Transit,65804.0
54,High School,Education,2,Urban,35,Single,Part-Time,2,Rent,Single-Family Home,Female,Public Transit,74500.0
65,Bachelor'S,Healthcare,1,Suburban,32,Single,Full-Time,2,Own,Apartment,Male,Biking,73370.0
34,Bachelor'S,Technology,5,Urban,20,Married,Part-Time,2,Rent,Townhouse,Female,Biking,707141.0
65,High School,Healthcare,2,Urban,38,Married,Part-Time,2,Own,Single-Family Home,Female,Walking,73038.0
19,Bachelor'S,Others,4,Urban,4,Single,Full-Time,2,Own,Apartment,Female,Public Transit,65250.0
19,Master'S,Finance,0,Urban,44,Single,Full-Time,4,Own,Apartment,Male,Biking,317203.0
45,Bachelor'S,Healthcare,2,Urban,12,Single,Self-Employed,1,Own,Apartment,Male,Biking,67264.0
40,High School,Healthcare,1,Urban,39,Married,Full-Time,7,Own,Apartment,Female,Walking,69482.0
54,Bachelor'S,Others,0,Urban,16,Single,Part-Time,2,Own,Single-Family Home,Male,Car,73858.0
49,Bachelor'S,Education,0,Urban,9,Married,Full-Time,5,Own,Apartment,Male,Public Transit,2890510.4000000004
50,Bachelor'S,Finance,3,Urban,9,Divorced,Part-Time,5,Rent,Townhouse,Male,Public Transit,750717.0
18,Bachelor'S,Education,2,Urban,1,Single,Part-Time,2,Rent,Single-Family Home,Female,Car,72528.0
36,Bachelor'S,Others,2,Rural,37,Single,Full-Time,3,Rent,Single-Family Home,Male,Car,401941.0
19,Master'S,Finance,5,Urban,20,Single,Self-Employed,2,Rent,Apartment,Male,Car,71028.0
65,High School,Healthcare,1,Urban,0,Married,Full-Time,6,Own,Single-Family Home,Male,Biking,71208.0
61,Doctorate,Healthcare,4,Rural,29,Married,Full-Time,7,Rent,Single-Family Home,Male,Car,71800.0
43,Bachelor'S,Technology,5,Urban,17,Single,Full-Time,4,Rent,Single-Family Home,Female,Walking,472998.0
49,High School,Others,4,Urban,34,Single,Self-Employed,6,Rent,Single-Family Home,Female,Walking,407919.0
23,Bachelor'S,Healthcare,3,Urban,38,Married,Full-Time,1,Rent,Single-Family Home,Male,Public Transit,2551452.0
49,High School,Technology,4,Urban,45,Married,Part-Time,5,Own,Apartment,Female,Biking,68608.0
21,High School,Education,1,Urban,21,Single,Part-Time,7,Rent,Apartment,Female,Public Transit,72812.0
28,Bachelor'S,Others,3,Rural,2,Single,Full-Time,7,Own,Single-Family Home,Male,Car,74746.0
34,Master'S,Finance,2,Urban,5,Married,Part-Time,2,Own,Townhouse,Male,Biking,65036.0
55,Master'S,Education,4,Urban,35,Single,Part-Time,1,Own,Single-Family Home,Female,Public Transit,74706.0
41,Bachelor'S,Healthcare,1,Urban,15,Single,Part-Time,1,Rent,Townhouse,Male,Biking,833690.0
22,High School,Healthcare,1,Urban,2,Married,Full-Time,2,Own,Apartment,Female,Biking,101202.0
