index,loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,revol_util,application_type,pub_rec_bankruptcies
16,15000,36,9.91,483.38,B,Winfield Pathology Consultants,2 Years,Mortgage,92000.0,Verified,Fully Paid,s,Credit_Card,Il,26.26,0.0,93.9,Individual,0.0
17,15000,36,14.27,514.64,C,nyc transit,9 Years,Rent,60000.0,Not Verified,Charged Off,s,Debt_Consolidation,Ny,15.22,0.0,57.6,Individual,0.0
18,4000,36,11.71,132.31,B,Shands Hospital at the University of Fl,10+ Years,Mortgage,106000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Fl,5.63,1.0,37.7,Individual,0.0
19,4375,36,7.51,136.11,A,,7 Years,Mortgage,17108.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ny,20.34,0.0,86.9,Individual,0.0
20,31825,36,7.9,933.1337,A,Audubon Mutual Housing Corporation,5 Years,Mortgage,75000.0,Verified,Fully Paid,s,Debt_Consolidation,Nj,14.03,0.0,27.4,Individual,0.0
21,10000,60,15.96,242.97,C,US Legal Support,2 Years,Rent,29120.0,Verified,Fully Paid,s,Debt_Consolidation,Fl,22.83,0.0,63.6,Individual,0.0
22,7000,36,15.96,245.97,C,GREG BARRETT DRYWALL,7 Years,Rent,34000.0,Source Verified,Fully Paid,s,Credit_Card,Ca,6.35,0.0,60.5,Individual,0.0
23,10800,36,9.91,348.03,B,Department of Justice,2 Years,Rent,55596.0,Source Verified,Fully Paid,s,Moving,Ca,13.08,0.0,50.3,Individual,0.0
24,12500,60,12.69,282.44,B,United States Infrastructure Corporation,1 Year,Rent,27000.0,Verified,Fully Paid,s,Debt_Consolidation,Il,16.04,0.0,50.0,Individual,0.0
25,12000,36,7.9,375.49,A,John Wiley Jr.,10+ Years,Rent,62300.0,Not Verified,Fully Paid,s,Debt_Consolidation,Nj,16.7,0.0,21.0,Individual,0.0
26,10000,36,10.65,325.74,B,Costco Wholesale Corp.,6 Years,Rent,27000.0,Verified,Fully Paid,s,Other,Ny,11.47,0.0,52.3,Individual,0.0
27,15000,36,9.91,483.38,B,Caterpillar Inc.,8 Years,Mortgage,80000.0,Not Verified,Charged Off,s,Debt_Consolidation,Il,9.12,0.0,63.7,Individual,0.0
28,25600,36,9.91,824.96,B,City of Santa Monica ,9 Years,Rent,110000.0,Verified,Fully Paid,s,Credit_Card,Ca,15.71,0.0,62.0,Individual,0.0
29,7000,36,10.65,228.02,B,Aerotek Scientific,< 1 Year,Rent,40000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,7.38,0.0,92.9,Individual,0.0
30,12000,36,15.96,421.65,C,Chemat Technology Inc,4 Years,Rent,50000.0,Not Verified,Charged Off,s,Car,Ca,20.88,0.0,90.8,Individual,0.0
31,12000,36,9.91,386.7,B,Scott & White,1 Year,Rent,46000.0,Not Verified,Fully Paid,s,Credit_Card,Tx,8.11,0.0,52.1,Individual,0.0
32,10000,36,10.65,325.74,B,DCAA,2 Years,Rent,51400.0,Not Verified,Fully Paid,s,Credit_Card,Tx,19.14,0.0,59.1,Individual,0.0
33,7100,36,16.77,252.33,D,Triple D security ,1 Year,Mortgage,33000.0,Verified,Fully Paid,s,Debt_Consolidation,Tx,24.0,0.0,91.2,Individual,0.0
34,13000,60,12.69,293.74,B,wrisco,< 1 Year,Mortgage,30000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Nj,13.72,0.0,58.9,Individual,0.0
35,17500,60,17.27,223.74,D,,6 Years,Rent,40000.0,Verified,Fully Paid,s,Small_Business,Ca,19.47,0.0,58.9,Individual,0.0
36,16425,36,14.27,563.53,C,"Gen-Probe, Inc",4 Years,Rent,44544.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ca,22.71,0.0,83.4,Individual,0.0
37,8200,60,20.99,223.14,F,autozone,4 Years,Rent,75000.0,Source Verified,Charged Off,s,Small_Business,Ca,12.48,0.0,73.9,Individual,0.0
38,15000,36,14.65,517.42,C,USAF Civil Service,2 Years,Own,61000.0,Verified,Fully Paid,s,Credit_Card,Fl,11.88,0.0,79.5,Individual,0.0
39,6400,36,16.77,227.45,D,"Riverside County, California",5 Years,Rent,75000.0,Not Verified,Charged Off,s,Debt_Consolidation,Ca,20.22,0.0,67.5,Individual,0.0
40,14400,36,8.9,457.25,A,Model Metrics,< 1 Year,Own,150000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ny,14.85,0.0,55.0,Individual,0.0
41,12000,36,14.65,413.94,C,Boro of Butler,10+ Years,Rent,90000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Nj,16.56,0.0,78.5,Individual,0.0
42,11000,36,13.49,373.24,C,TX Army National Guard,10+ Years,Mortgage,48000.0,Verified,Fully Paid,s,Debt_Consolidation,Tx,21.82,0.0,65.0,Individual,0.0
43,7250,60,20.99,197.51,F,Cross Country Travel Corp,< 1 Year,Rent,75000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,24.82,0.0,91.2,Individual,1.0
44,15000,36,7.9,469.36,A,Segovia's Transportion Inc.,1 Year,Mortgage,52000.0,Not Verified,Fully Paid,s,Small_Business,Tx,9.65,0.0,6.7,Individual,0.0
45,18000,60,19.91,475.99,E,AVMED HEALTH PLANS,10+ Years,Mortgage,65000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Fl,6.81,0.0,77.8,Individual,0.0
46,35000,60,17.27,551.84,D,tutor Per ini Corporation,3 Years,Mortgage,150000.0,Verified,Fully Paid,s,Home_Improvement,Ny,7.51,0.0,53.3,Individual,0.0
47,11800,36,12.69,395.83,B,Koi Restaurant,6 Years,Rent,42000.0,Source Verified,Fully Paid,s,Credit_Card,Ny,9.86,0.0,74.8,Individual,0.0
48,4500,36,6.03,136.96,A,CaseStack,4 Years,Rent,53000.0,Source Verified,Fully Paid,s,Major_Purchase,Ca,4.44,0.0,13.9,Individual,0.0
49,7000,36,12.69,234.82,B,Bellflower convalecent hospital,10+ Years,Rent,35000.0,Source Verified,Fully Paid,s,Credit_Card,Ca,11.35,0.0,82.3,Individual,0.0
50,9200,36,12.42,307.43,B,Kaiser Permanente,2 Years,Rent,60000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ca,19.96,0.0,78.7,Individual,0.0
51,4500,60,10.65,97.06,B,barnes distribution,< 1 Year,Mortgage,42000.0,Source Verified,Fully Paid,s,Car,Tx,5.4,0.0,78.3,Individual,0.0
52,12000,36,13.49,407.17,C,LITHIA MOTORS,4 Years,Rent,72000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ca,21.33,0.0,27.6,Individual,0.0
53,12000,36,10.65,390.88,B,Insight Global,< 1 Year,Rent,62000.0,Verified,Fully Paid,s,Credit_Card,Tx,23.94,0.0,78.4,Individual,0.0
54,8200,60,19.42,214.62,E,Claret Wine Bar,3 Years,Rent,120000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ny,2.8,0.0,88.4,Individual,0.0
55,10500,36,12.69,352.23,B,O'Connor,10+ Years,Rent,66000.0,Verified,Fully Paid,s,Medical,Ca,20.73,1.0,51.2,Individual,0.0
56,7000,36,11.71,231.54,B,Harris,4 Years,Own,39120.0,Not Verified,Fully Paid,s,Debt_Consolidation,Fl,21.01,0.0,52.4,Individual,0.0
57,3500,36,6.03,106.53,A,J&J Steel Inc,10+ Years,Mortgage,83000.0,Verified,Fully Paid,s,Car,Il,2.31,0.0,13.4,Individual,0.0
58,6200,36,9.91,199.8,B,Sunrise Senior Living,2 Years,Rent,25000.0,Not Verified,Charged Off,s,Debt_Consolidation,Ca,20.64,0.0,47.7,Individual,0.0
59,6000,36,8.9,190.52,A,A Touch Of Italy,8 Years,Own,28800.0,Not Verified,Fully Paid,s,Debt_Consolidation,Nj,13.17,0.0,36.8,Individual,0.0
60,7200,36,9.91,232.02,B,New York Living Solutions,6 Years,Rent,135000.0,Not Verified,Fully Paid,s,Credit_Card,Ny,6.12,0.0,79.6,Individual,0.0
61,9500,36,8.9,301.66,A,Natex Architects,7 Years,Mortgage,50000.0,Not Verified,Fully Paid,s,Credit_Card,Tx,8.18,0.0,60.5,Individual,0.0
62,18825,60,16.77,465.53,D,Texas Health & Human Services Commission,10+ Years,Rent,38000.0,Verified,Charged Off,s,Debt_Consolidation,Tx,23.18,0.0,79.7,Individual,0.0
63,24000,36,10.65,781.76,B,City of Newport Beach,10+ Years,Rent,45000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,14.8,0.0,55.2,Individual,0.0
64,6000,36,13.49,203.59,C,Becker Construction Corporation,10+ Years,Rent,80000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,11.58,0.0,83.8,Individual,0.0
65,26800,60,20.89,723.38,F,charlotte regional medical center,3 Years,Mortgage,120000.0,Verified,Fully Paid,s,Debt_Consolidation,Fl,12.15,0.0,48.0,Individual,0.0
66,8000,36,12.69,268.36,B,OPW Fuel Management Systems,5 Years,Mortgage,35000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Il,10.05,0.0,97.7,Individual,0.0
67,10000,36,18.25,362.78,D,Gucci Group/ Yves Saint Laurent,1 Year,Rent,75000.0,Source Verified,Charged Off,s,Credit_Card,Ca,24.14,0.0,96.3,Individual,0.0
68,10000,36,8.9,317.54,A,Renal Support Network,6 Years,Rent,24000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,7.0,0.0,49.5,Individual,0.0
69,10000,36,7.9,312.91,A,RAM DME,1 Year,Rent,43000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,25.26,0.0,37.2,Individual,0.0
70,12000,36,9.91,386.7,B,samuraisushi restaurant,1 Year,Rent,50000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,16.44,0.0,29.3,Individual,0.0
71,10000,36,9.91,322.25,B,Albert Einstein College of Medicine,3 Years,Rent,31200.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ny,14.81,0.0,27.0,Individual,0.0
72,28000,60,19.91,312.04,E,American Airlines,10+ Years,Rent,52000.0,Verified,Charged Off,s,Debt_Consolidation,Tx,20.7,0.0,87.6,Individual,0.0
73,18000,36,7.9,563.23,A,United States Air Force,10+ Years,Rent,56964.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ca,26.26,0.0,76.6,Individual,0.0
74,2500,36,14.27,85.78,C,United states air force,7 Years,Rent,49500.0,Source Verified,Fully Paid,s,Debt_Consolidation,Fl,10.33,0.0,37.7,Individual,0.0
75,35000,36,8.9,933.1337,A,City of Los Angeles,6 Years,Mortgage,125000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,22.71,0.0,34.8,Individual,0.0
76,10000,36,7.51,311.11,A,Malvern School of Medford,3 Years,Rent,33000.0,Not Verified,Fully Paid,s,Credit_Card,Nj,9.75,0.0,0.6,Individual,0.0
77,24000,36,15.96,843.3,C,lafidale inc,8 Years,Mortgage,90000.0,Source Verified,Charged Off,s,Home_Improvement,Ca,9.17,0.0,71.2,Individual,0.0
78,6000,36,11.71,198.46,B,Infosys Technologies Ltd.,1 Year,Rent,90000.0,Not Verified,Fully Paid,s,Credit_Card,Nj,2.97,1.0,56.6,Individual,0.0
79,10000,60,12.69,225.95,B,Barnes and Noble,2 Years,Mortgage,56000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ca,10.82,0.0,31.2,Individual,0.0
80,14000,36,14.27,480.33,C,Kazork,4 Years,Rent,52800.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,7.36,0.0,70.8,Individual,0.0
81,13500,36,9.91,435.04,B,Bank of the West,7 Years,Rent,38000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,12.38,0.0,67.3,Individual,0.0
82,6000,36,10.65,195.44,B,Medin Corporation,6 Years,Mortgage,87000.0,Not Verified,Fully Paid,s,Home_Improvement,Nj,12.86,2.0,40.5,Individual,0.0
83,8450,60,16.77,208.97,D,Best Buy,5 Years,Own,25000.0,Verified,Fully Paid,s,Debt_Consolidation,Il,22.51,0.0,83.5,Individual,0.0
84,10000,36,11.71,330.76,B,karl strauss brewing company,8 Years,Rent,60000.0,Not Verified,Charged Off,s,Debt_Consolidation,Ca,22.08,0.0,29.3,Individual,0.0
85,13475,60,13.49,309.99,C,vons,10+ Years,Rent,25000.0,Verified,Charged Off,s,Credit_Card,Ca,21.89,0.0,65.8,Individual,0.0
86,7200,36,12.42,240.59,B,"Marks & Sokolov, LLC",5 Years,Rent,48000.0,Not Verified,Fully Paid,s,Major_Purchase,Il,17.43,0.0,80.2,Individual,0.0
87,12000,36,14.27,411.71,C,Rite aid,< 1 Year,Rent,57000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,10.86,0.0,81.5,Individual,0.0
88,15000,36,17.27,536.81,D,Senior Dental Insurance Solutions,2 Years,Mortgage,44400.0,Source Verified,Fully Paid,s,House,Fl,3.59,1.0,91.6,Individual,1.0
89,10000,36,6.62,307.04,A,Marshall Realty,5 Years,Mortgage,70000.0,Not Verified,Fully Paid,s,Credit_Card,Ny,16.78,0.0,69.0,Individual,0.0
90,8000,36,14.65,275.96,C,Studio 94 Corp,3 Years,Rent,28000.0,Not Verified,Fully Paid,s,Car,Ca,12.6,0.0,54.3,Individual,0.0
91,6000,36,14.27,205.86,C,American Airlines,10+ Years,Mortgage,94800.0,Verified,Fully Paid,s,Car,Tx,24.53,0.0,95.9,Individual,0.0
92,16000,60,9.91,339.25,B,Indian river county clerk of court,10+ Years,Own,40000.0,Verified,Fully Paid,s,Debt_Consolidation,Fl,9.39,0.0,28.5,Individual,0.0
93,2500,36,7.51,77.78,A,,10+ Years,Own,14400.0,Source Verified,Charged Off,s,Debt_Consolidation,Ca,16.3,0.0,42.2,Individual,0.0
94,25000,36,12.42,835.39,B,McGraw- Hill,2 Years,Rent,225000.0,Verified,Fully Paid,s,Debt_Consolidation,Nj,8.32,1.0,34.6,Individual,0.0
95,10000,36,13.49,339.31,C,Samsung Information Systems America,2 Years,Rent,45900.0,Verified,Fully Paid,s,Small_Business,Ca,24.97,0.0,48.3,Individual,0.0
96,7325,36,12.69,245.72,B,Sensus Healthcare,1 Year,Rent,42000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Fl,22.57,0.0,65.0,Individual,0.0
97,4000,36,12.42,133.67,B,walgreens,5 Years,Rent,135000.0,Verified,Fully Paid,s,Credit_Card,Ny,12.12,0.0,85.7,Individual,0.0
98,10000,36,13.49,339.31,C,Edgestone Real Estate,5 Years,Rent,65000.0,Not Verified,Charged Off,s,Small_Business,Ca,6.92,1.0,69.5,Individual,0.0
99,7750,36,17.27,277.36,D,US Bank,< 1 Year,Rent,24000.0,Not Verified,Charged Off,s,Debt_Consolidation,Il,16.1,0.0,67.1,Individual,0.0
100,20000,60,20.89,539.84,F,Independent Imaging,6 Years,Rent,70000.0,Source Verified,Charged Off,s,Debt_Consolidation,Fl,16.63,0.0,79.9,Individual,0.0
101,9600,36,12.42,320.79,B,Express LLC,10+ Years,Rent,65000.0,Verified,Fully Paid,s,Debt_Consolidation,Ny,11.65,0.0,70.9,Individual,0.0
102,21000,60,11.71,464.07,B,Calix,3 Years,Rent,60000.0,Not Verified,Charged Off,s,Debt_Consolidation,Ca,6.62,0.0,79.9,Individual,0.0
103,13350,36,12.42,446.1,B,Cajon Valley Union School District,10+ Years,Rent,43000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,20.57,0.0,95.3,Individual,0.0
104,15000,36,17.27,536.81,D,Santa Clara County Public Defender,8 Years,Rent,75000.0,Source Verified,Charged Off,s,Debt_Consolidation,Ca,16.03,0.0,75.9,Individual,0.0
105,11000,60,13.49,253.06,C,Department Of Health,10+ Years,Mortgage,129000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,10.94,0.0,24.1,Individual,0.0
106,35000,36,10.65,933.1337,B,baylor college of medicine,2 Years,Mortgage,168000.0,Verified,Fully Paid,s,Debt_Consolidation,Tx,3.17,1.0,1.4,Individual,0.0
107,16000,36,12.69,536.72,B,Marsh,1 Year,Rent,58500.0,Source Verified,Charged Off,s,Debt_Consolidation,Il,20.64,0.0,89.3,Individual,0.0
108,12000,36,10.65,390.88,B,PURE FLO WATER COMPANY,5 Years,Rent,60000.0,Not Verified,Fully Paid,s,Credit_Card,Ca,10.84,0.0,48.8,Individual,0.0
109,8400,60,16.77,207.73,D,City of new york,5 Years,Rent,87996.0,Not Verified,Fully Paid,s,Major_Purchase,Ny,11.35,0.0,80.3,Individual,0.0
110,12000,36,14.27,411.71,C,Corning Inc.,8 Years,Mortgage,70000.0,Not Verified,Charged Off,s,Other,Ny,8.4,0.0,86.2,Individual,0.0
111,9000,36,12.69,301.91,B,Gilbert Express,5 Years,Rent,50000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ny,17.81,0.0,55.4,Individual,0.0
112,20000,36,13.49,678.61,C,,6 Years,Rent,75000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,22.38,0.0,90.8,Individual,0.0
113,11500,36,15.27,400.18,C,Merks Bar and Grill,5 Years,Rent,36000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Fl,21.1,0.0,76.7,Individual,0.0
114,13650,36,12.42,456.12,B,ITT Aerospace Controls,10+ Years,Mortgage,86000.0,Not Verified,Charged Off,s,Debt_Consolidation,Ca,12.29,0.0,73.4,Individual,0.0
115,10500,36,16.29,370.66,D,Butte Community College,3 Years,Rent,30000.0,Source Verified,Charged Off,s,Debt_Consolidation,Ca,15.0,0.0,55.5,Individual,0.0
116,12000,36,9.91,386.7,B,Deloitte Tax LLP,2 Years,Rent,60000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,15.5,0.0,85.7,Individual,0.0
117,11500,36,15.27,400.18,C,Eel River Brewing Co.,10+ Years,Mortgage,44200.0,Verified,Fully Paid,s,Credit_Card,Ca,21.69,0.0,90.0,Individual,0.0
118,2000,36,15.27,69.6,C,The University of Texas,2 Years,Rent,41000.0,Verified,Fully Paid,s,Moving,Tx,17.74,0.0,96.4,Individual,0.0
119,15075,36,14.27,517.21,C,JPMorgan Chase Bank,10+ Years,Rent,35000.0,Verified,Charged Off,s,Debt_Consolidation,Tx,20.16,0.0,89.6,Individual,0.0
120,12000,36,12.42,400.99,B,Sigma Relocation Group,9 Years,Mortgage,105000.0,Not Verified,Fully Paid,s,Credit_Card,Tx,13.98,0.0,75.0,Individual,0.0
121,8650,36,14.27,296.78,C,Best buy,4 Years,Mortgage,45000.0,Source Verified,Fully Paid,s,Credit_Card,Fl,7.6,0.0,58.9,Individual,0.0
122,21000,60,17.27,294.98,D,New Jersey Institute Of Technology (NJIT,10+ Years,Mortgage,109000.0,Verified,Fully Paid,s,Debt_Consolidation,Nj,7.75,0.0,50.3,Individual,0.0
123,16000,60,17.27,399.97,D,JP Morgan Chase Bank,2 Years,Rent,50000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Tx,11.04,0.0,42.2,Individual,0.0
124,12000,36,12.42,400.99,B,PricewaterhouseCoopers,2 Years,Rent,83000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,11.81,0.0,51.1,Individual,0.0
125,9500,36,12.69,318.68,B,San Diego Unified School District,< 1 Year,Mortgage,52500.0,Source Verified,Charged Off,s,Moving,Ca,23.54,0.0,75.3,Individual,0.0
126,14400,36,13.49,488.6,C,big m inc,10+ Years,Mortgage,60000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Fl,16.92,0.0,65.0,Individual,0.0
127,4000,36,7.51,124.45,A,Vibrato Grill Jazz etc...,< 1 Year,Rent,65000.0,Source Verified,Fully Paid,s,Major_Purchase,Ca,18.17,0.0,50.7,Individual,0.0
128,1500,36,17.27,53.69,D,Walt Disney Co.,10+ Years,Mortgage,144000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,8.23,1.0,97.8,Individual,0.0
129,19600,36,12.42,654.94,B,Ajel Technologies Inc,2 Years,Rent,75000.0,Verified,Fully Paid,s,Credit_Card,Ny,11.62,0.0,50.1,Individual,0.0
130,10000,36,12.69,335.45,B,nor cal beverage,2 Years,Rent,70000.0,Not Verified,Charged Off,s,Credit_Card,Ca,2.69,0.0,70.2,Individual,0.0
131,3500,36,7.9,109.52,A,impax laboratory,7 Years,Mortgage,61440.0,Not Verified,Fully Paid,s,Vacation,Ca,6.46,1.0,55.5,Individual,0.0
132,12000,36,6.62,368.45,A,maroone chevrolet of west dade,10+ Years,Mortgage,56000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Fl,13.65,0.0,80.3,Individual,0.0
133,16500,36,8.9,523.93,A,CH Robinson,< 1 Year,Rent,47000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Il,9.06,0.0,38.8,Individual,0.0
134,15600,60,12.69,352.48,B,corbett industries,10+ Years,Rent,50000.0,Source Verified,Charged Off,s,Vacation,Ny,5.78,0.0,35.7,Individual,0.0
135,10800,36,12.42,360.89,B,Hillstone Restaurant Group,8 Years,Rent,135000.0,Verified,Fully Paid,s,Credit_Card,Ca,12.12,0.0,74.5,Individual,0.0
136,18825,60,17.58,473.75,D,executive plaza,4 Years,Mortgage,44000.0,Verified,Fully Paid,s,Debt_Consolidation,Ny,24.98,0.0,93.2,Individual,0.0
137,12000,36,9.91,386.7,B,Southern Methodist University,5 Years,Rent,80000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Tx,14.83,0.0,67.7,Individual,0.0
138,8000,36,7.9,250.33,A,kenover marketing,2 Years,Rent,78000.0,Not Verified,Fully Paid,s,Vacation,Ny,6.09,0.0,55.9,Individual,0.0
139,13200,60,17.27,224.36,D,"Cardinal Health Stafford, Texas.",3 Years,Rent,26400.0,Source Verified,Fully Paid,s,Small_Business,Tx,9.64,0.0,50.1,Individual,0.0
140,10500,36,6.03,319.58,A,DFW International Airport,10+ Years,Mortgage,65000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Tx,10.36,0.0,18.7,Individual,0.0
141,7350,36,11.71,243.11,B,cyberpower,1 Year,Rent,33000.0,Verified,Fully Paid,s,Debt_Consolidation,Ca,22.51,0.0,77.9,Individual,0.0
142,10000,36,13.49,339.31,C,St. Joseph Hospital,10+ Years,Mortgage,50000.0,Not Verified,Fully Paid,s,Credit_Card,Ca,5.88,1.0,47.6,Individual,0.0
143,12000,36,8.9,381.04,A,"Time Escrow, Inc.",7 Years,Rent,80000.0,Not Verified,Charged Off,s,Other,Ca,9.13,0.0,83.5,Individual,0.0
144,7000,36,11.71,231.54,B,,2 Years,Rent,75000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Ca,15.57,0.0,94.1,Individual,0.0
145,35000,60,18.64,690.56,E,"Navistar, Inc.",8 Years,Mortgage,85000.0,Verified,Fully Paid,s,Debt_Consolidation,Il,12.0,0.0,53.0,Individual,0.0
146,1400,36,7.9,43.81,A,Dr.Boers,1 Year,Rent,28800.0,Not Verified,Fully Paid,s,Other,Fl,10.0,0.0,9.9,Individual,0.0
147,3200,36,9.91,103.12,B,Oceanside college of beauty,9 Years,Rent,61200.0,Not Verified,Fully Paid,s,Debt_Consolidation,Ca,2.16,0.0,33.3,Individual,1.0
148,8000,36,7.9,250.33,A,Medical Delivery Services,1 Year,Rent,40000.0,Not Verified,Fully Paid,s,Medical,Ca,13.35,0.0,34.4,Individual,0.0
149,11875,60,12.69,268.32,B,Guardsmark,< 1 Year,Rent,25920.0,Source Verified,Charged Off,s,Debt_Consolidation,Ca,23.75,0.0,94.1,Individual,0.0
150,5000,36,6.03,152.18,A,"Allen Flavors, Inc.",9 Years,Mortgage,54000.0,Not Verified,Fully Paid,s,Home_Improvement,Nj,3.82,0.0,4.0,Individual,0.0
151,35000,36,8.9,933.1337,A,Twitch LLC,5 Years,Rent,85000.0,Verified,Fully Paid,s,Debt_Consolidation,Il,17.73,0.0,61.5,Individual,0.0
152,18000,36,8.9,571.56,A,Accenture,5 Years,Rent,78000.0,Verified,Fully Paid,s,Credit_Card,Ny,7.0,0.0,66.3,Individual,0.0
153,5000,36,12.42,167.08,B,BBVA Compass,2 Years,Rent,70000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Tx,20.06,0.0,54.2,Individual,0.0
154,8000,36,15.96,281.1,C,Dream Town ,4 Years,Rent,70000.0,Source Verified,Fully Paid,s,Credit_Card,Il,14.04,0.0,91.9,Individual,0.0
155,10000,36,7.51,311.11,A,pepsi beverage company,5 Years,Rent,50000.0,Verified,Fully Paid,s,Debt_Consolidation,Nj,4.63,0.0,25.7,Individual,0.0
156,10400,36,9.91,335.14,B,,6 Years,Rent,40000.0,Source Verified,Fully Paid,s,Debt_Consolidation,Fl,11.67,0.0,80.6,Individual,0.0
157,6600,36,9.91,212.69,B,"The Holmes Organisation, Inc.",1 Year,Mortgage,100000.0,Not Verified,Fully Paid,s,House,Fl,15.53,0.0,27.8,Individual,0.0
158,12000,36,8.9,381.04,A,Kearny Ferderal Savings Bank,7 Years,Own,40000.0,Not Verified,Fully Paid,s,Debt_Consolidation,Nj,9.45,0.0,37.4,Individual,0.0
